CityID,CountryID,CityName
1,1,Meganville
2,1,Amyburg
3,1,Sarahburg
4,2,Philipburg
5,2,Ronaldside
6,2,Stephenville
7,3,Kimville
8,3,Kennethport
9,3,Natasha City
10,4,Andrewport
11,4,Antoniobridge
12,4,Nataliebridge
13,5,Jacobfield
14,5,Michaelside
15,5,Christyburg
16,6,Stephanie City
17,6,Kara City
18,6,Evanside
19,7,Bradside
20,7,Pamelaport
21,7,Scottfield
22,8,Lisatown
23,8,Bradleytown
24,8,Richard City
25,9,Markburg
26,9,Michaelburg
27,9,Amyfield
28,10,Benjaminport
29,10,Kellytown
30,10,Matthewtown
31,11,Kelli City
32,11,Justin City
33,11,Williamville
34,12,Timothytown
35,12,Jason City
36,12,Ryanport
37,13,Kyleburg
38,13,Beverlyside
39,13,Deborah City
40,14,Jamesfield
41,14,Kathytown
42,14,Heatherburg
43,15,Lisaport
44,15,Kristinburg
45,15,Michelleville
46,16,Jacobville
47,16,Michaelville
48,16,Austintown
49,17,Jamesville
50,17,Marissaside
51,17,William City
52,18,Coreyside
53,18,Julietown
54,18,Robinport
55,19,Richardside
56,19,Catherinebridge
57,19,Kaylabridge
58,20,Jonathantown
59,20,Lisaville
60,20,Colleenburg
